epoch,step,train_dice_c2c_epoch,train_dice_gt_epoch,train_dice_ts_epoch,train_loss_epoch,val_dice_c2c,val_dice_gt,val_dice_ts,val_loss
0,0,,,,,0.0,0.0,0.0,1.8566279411315918
0,0,0.0,0.0,0.0,2.104278087615967,,,,
